member,belief
121088,0.544738274783
31683,0.544738274783
381499,0.544738274783
377752,0.544738274783
1326,0.544738274783
299094,0.544738274783
740845,0.544738274783
781624,0.544738274783
222446,0.544738274783
292927,0.544738274783
330176,0.544738274783
189383,0.743563247239
928930,0.544738274783
774585,0.544738274783
75277,0.544738274783
442749,0.544738274783
648982,0.544738274783
151823,0.544738274783
510192,0.544738274783
651198,0.544738274783
270892,0.544738274783
919228,0.544738274783
839076,0.544738274783
962135,0.544738274783
795972,0.544738274783
120906,0.544738274783
769723,0.544738274783
283383,0.544738274783
923700,0.786971856254
74340,0.544738274783
639094,0.544738274783
571678,0.544738274783
519842,0.544738274783
622741,0.544738274783
179778,0.544738274783
108485,0.544738274783
693801,0.544738274783
599330,0.544738274783
364709,0.743563247239
744264,0.544738274783
915258,0.544738274783
974770,0.544738274783
544003,0.544738274783
113345,0.544738274783
741387,0.544738274783
169649,0.544738274783
569008,0.544738274783
153400,0.544738274783
511827,0.544738274783
116920,0.544738274783
25315,0.544738274783
731319,0.544738274783
636011,0.544738274783
769597,0.544738274783
329413,0.544738274783
664654,0.544738274783
437470,0.544738274783
662996,0.743563247239
196419,0.544738274783
353102,0.544738274783
439943,0.544738274783
459524,0.544738274783
657334,0.544738274783
368994,0.544738274783
957098,0.743563247239
528219,0.743563247239
494821,0.544738274783
867564,0.544738274783
633839,0.544738274783
77735,0.544738274783
771058,0.544738274783
541072,0.544738274783
595566,0.544738274783
784206,0.544738274783
721491,0.544738274783
434542,0.544738274783
982023,0.544738274783
361443,0.544738274783
595146,0.786971856254
140798,0.544738274783
964750,0.544738274783
812432,0.786971856254
